ID_Pedido,Data_Pedido,Nome_Produto,Categoria,Preco_Unitario,Quantidade,ID_Cliente,Cidade,Estado,Faturamento,Status_Entrega,Mes
1000,2026-01-01 10:00:00,Monitor Ultrawide,Eletrônicos,2800.0,2,105,Rio de Janeiro,RJ,5600.0,Rápida,2026-01
1001,2026-01-01 22:00:00,Placa de Vídeo,Hardware,4500.0,4,103,Curitiba,PR,18000.0,Normal,2026-01
1002,2026-01-01 09:00:00,Cadeira Gamer,Móveis,1200.0,5,114,Curitiba,PR,6000.0,Normal,2026-01
1003,2026-01-01 05:00:00,Headset 7.1,Acessórios,800.0,3,135,Fortaleza,CE,2400.0,Normal,2026-01
1004,2026-01-01 20:00:00,Mouse Vertical,Acessórios,227.41,1,145,Porto Alegre,RS,227.41,Normal,2026-01
1005,2026-01-02 11:00:00,Mouse Vertical,Acessórios,234.73,1,130,Rio de Janeiro,RJ,234.73,Rápida,2026-01
1006,2026-01-02 12:00:00,SSD 1TB,Hardware,600.0,6,124,Fortaleza,CE,3600.0,Normal,2026-01
1007,2026-01-02 18:00:00,Monitor Ultrawide,Eletrônicos,2800.0,7,126,Rio de Janeiro,RJ,19600.0,Rápida,2026-01
1008,2026-01-02 21:00:00,Teclado Mecânico,Acessórios,543.24,7,144,Fortaleza,CE,3802.6800000000003,Normal,2026-01
1009,2026-01-02 21:00:00,Mouse Vertical,Acessórios,226.37,1,121,Salvador,BA,226.37,Normal,2026-01
1010,2026-01-03 19:00:00,Laptop Gamer,Eletrônicos,7500.0,4,144,Curitiba,PR,30000.0,Normal,2026-01
1011,2026-01-03 08:00:00,Placa de Vídeo,Hardware,4500.0,5,111,Rio de Janeiro,RJ,22500.0,Rápida,2026-01
1012,2026-01-03 05:00:00,Cadeira Gamer,Móveis,1200.0,4,130,Curitiba,PR,4800.0,Normal,2026-01
1013,2026-01-03 07:00:00,Headset 7.1,Acessórios,800.0,6,139,São Paulo,SP,4800.0,Rápida,2026-01
1014,2026-01-03 23:00:00,Laptop Gamer,Eletrônicos,7500.0,7,112,São Paulo,SP,52500.0,Rápida,2026-01
1015,2026-01-04 04:00:00,Mouse Vertical,Acessórios,237.43,6,118,Rio de Janeiro,RJ,1424.58,Rápida,2026-01
1016,2026-01-04 11:00:00,Placa de Vídeo,Hardware,4500.0,2,109,Porto Alegre,RS,9000.0,Normal,2026-01
1017,2026-01-04 19:00:00,Placa de Vídeo,Hardware,4500.0,1,142,Rio de Janeiro,RJ,4500.0,Rápida,2026-01
